課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
1-1,1,言論,yánlùn,N,"speech, act of speaking","bài phát biểu, hành vi phát biểu",5
1-1,2,界線,jièxiàn,N,"boundaries, demarcation","ranh giới, sự phân định",5
1-1,3,臉書,liǎnshū,N,Facebook,Facebook,5
1-1,4,則,zé,M,"measure for short, usually formal writings     ","lượng từ cho bài viết ngắn, thường là trang trọng",5
1-1,5,留言,liúyán,N,"posted messages, comments","tin nhắn được đăng, bình luận",5
1-1,6,停止,tíngzhǐ,Vp,"to call off, to cease","ngừng lại, chấm dứt",5
1-1,7,決策,juécè,N,policy,chính sách,5
1-1,1,無罪,wúzuì,Vs,not guilty,vô tội,5
1-1,2,遭,zāo,Ptc,agent marker in an adversative passive sentence,dấu hiệu chỉ tác nhân trong câu bị động nghịch,5
1-1,3,慘,cǎn,Vs,devastated ,"suy sụp, thảm thiết",5
1-1,4,反應,fǎnyìng,N/V,"reaction, respond","phản ứng, hồi đáp",5
1-1,5,發表,fābiǎo,V,"issue, publish (articles, news story), deliver (speeches)","công bố, đăng (bài báo, tin tức), phát biểu (bài diễn văn)",5
1-1,6,司法,sīfǎ,N,judicial,tư pháp,5
1-1,7,判決,pànjué,N,"judgement, sentencing (judicial)","phán quyết, tuyên án (tư pháp)",5
1-1,8,無能,wúnéng,Vs,"to be incompetent, inept, weak","bất tài, kém cỏi, yếu kém",5
1-1,9,幸運,xìngyùn,Vs,"lucky, fortunate",may mắn,5
1-1,10,顧名思義,gùmíng sīyì,Id,as the name suggests/implies,đúng như tên gọi của nó,5
1-1,11,接收,jiēshōu,V,to receive,tiếp nhận,5
1-1,12,來源,láiyuán,N,source,nguồn,5
1-1,13,處罰,chǔfá,V,to punish,trừng phạt,5
1-1,14,包容,bāoróng,Vst,tolerant,"bao dung, khoan dung",5
1-1,15,不論,búlùn,Conj,regardless of whether,bất kể là,5
1-1,16,展現,zhǎnxiàn,V,"to reveal, show","biểu hiện, cho thấy",5
1-1,17,胡作非為,húzuò fēiwéi,Id,"run amok, engage in lawless activities","hoành hành ngang ngược, thực hiện những hành vi phi pháp",5
1-1,18,一旦,yídàn,Conj,"once, as soon as","một khi, ngay khi",5
1-1,19,工具,gōngjù,N,"tool, instrument",công cụ,5
1-1,20,洗腦,xǐnǎo,Vi,to brainwash,tẩy não,5
1-1,21,權益,quányì,N,rights and interests,quyền lợi,5
1-1,22,盲點,mángdiǎn,N,blind spot,điểm mù,5
1-1,23,立場,lìchǎng,N,"standpoint, perspective","lập trường, quan điểm",5
1-1,23,平衡,pínghéng,N,balance,sự cân bằng,5
1-1,25,辯護,biànhù,Vi,to defend (legally),bào chữa (về mặt pháp lý),5
1-1,26,無理取鬧,wúlǐ qǔnào,Id,"act up, have tantrums, talk nonsense and cause trouble","làm ầm ĩ vô lý, gây sự",5
1-1,27,指正,zhǐzhèng,V,"to point out mistakes, correct","chỉ ra sai sót, sửa chữa",5
1-1,28,一來一往,yìlái yìwǎng,Id,amidst exchanges (of opinions),giữa những cuộc trao đổi (ý kiến),5
1-1,29,真理,zhēnlǐ,N,the truth,chân lý,5
1-1,30,越辯越明,yuèbiàn yuèmíng,Id,"the more s/t is debated, the clearer it becomes",càng tranh luận thì càng rõ ràng,5
1-1,31,共識,gòngshì,N,consensus,sự đồng thuận,5
1-1,32,亂象,luànxiàng,N,"chaos, madness, disorder","sự hỗn loạn, tình trạng mất trật tự",5
1-1,33,攻擊,gōngjí,V,to attack,tấn công,5
1-1,34,自殺,zìshā,Vp,to commit suicide,tự sát,5
1-1,35,過於,guòyú,Adv,"too, overly","quá, một cách quá mức",5
1-1,36,事實上,shìshí shàng,Ph,"actually, in actual fact",trên thực tế,5
1-1,37,仇恨,chóuhèn,N,"hatred, enmity, hostility",sự thù hận,5
1-1,38,不實,bùshí,Vs-attr,"untrue, false","không đúng sự thật, sai sự thật",5
1-1,39,謠言,yáoyán,N,rumor,lời đồn thổi,5
1-1,40,霸凌,bàlíng,N/V,"bully, to bully",bắt nạt; hành vi bắt nạt,5
1-1,41,負責,fùzé,Vs,to take responsibility for,chịu trách nhiệm,5
1-1,42,誤解,wùjiě,V,"to misunderstand, misconstrue",hiểu lầm,5
1-1,43,意義,yìyì,N,"meaning, significance","ý nghĩa, sự quan trọng",5
1-1,44,因此,yīncǐ,Adv,"because of this, for this reason","vì lý do này, do đó",5
1-1,45,否定,fǒudìng,V,to negate,phủ định,5
1-1,46,價值,jiàzhí,N,value,giá trị,5
1-1,47,封住,fēngzhù,V,"to seal, block","phong tỏa, chặn lại",5
1-1,48,嘴,zuǐ,N,"mouth, opinion","miệng, ý kiến",5
1-1,49,混亂,hùnluàn,Vs,"tumultuous, chaotic","hỗn loạn, rối ren",5
1-1,50,唯一,wéiyī,Vs-attr,"one and only, sole",duy nhất,5
1-2,1,濫用,lànyòng,V,to abuse,lạm dụng,5
1-2,2,並非,bìngfēi,Adv,it is not as expected,không phải như mong đợi,5
1-2,3,不用,búyòng,Vaux,(there is) no need to,(không) cần phải,5
1-2,4,抓,zhuā,V,to arrest,bắt giữ,5
1-2,5,關,guān,V,"to lock up, imprison","nhốt lại, giam giữ",5
1-2,6,名嘴,míngzuǐ,N,"TV presenters, talk show hosts or guests, talking heads","người nói chuyên nghiệp (trên TV, v.v.)",5
1-2,7,根據,gēnjù,N,"basis, foundation","căn cứ, nền tảng",5
1-2,8,隨意,suíyì,Adv,"arbitrarily, as one pleases","tùy tiện, tùy thích",5
1-2,9,鄉民,xiāngmín,N,"netizens, general public","cư dân mạng, công chúng",5
1-2,10,匿名,nìmíng,Vi,"to be anonymous, anonymously",ẩn danh,5
1-2,11,正義,zhèngyì,N,justice,công lý,5
1-2,12,惡意,èyì,Adv/N,"maliciously, viciously; ill intention",một cách ác ý; ý đồ xấu,5
1-2,13,情緒,qíngxù,N,"emotions, feelings",cảm xúc,5
1-2,14,成,chéng,Vpt,to become,trở thành,5
1-2,15,護身符,hùshēnfú,N,"amulet, charm, protective talisman",bùa hộ mệnh,5
1-2,16,傳播,chuánbò,V,"to disseminate, spread","truyền bá, lan truyền",5
1-2,17,驚人,jīngrén,Vs,"shocking, alarming, awing","gây sốc, đáng báo động",5
1-2,18,股,gǔ,M,"measure for wind, trending or power","lượng từ cho làn gió, xu hướng hoặc sức mạnh",5
1-2,19,有心,yǒuxīn,Vs,intentional,có chủ đích,5
1-2,20,無意,wúyì,Vs,"unintentional, inadvertent","vô tình, không chủ ý",5
1-2,21,威脅,wēixié,N/V,"threat, to threaten",mối đe dọa; đe dọa,5
1-2,22,諷刺,fèngcì,V,"to mock, to be sarcastic","châm biếm, mỉa mai",5
1-2,23,得,dé,Vpt,"to come down with, be stricken with, get","mắc phải, bị (bệnh)",5
1-2,24,憂鬱症,yōuyùzhèng,N,depression,bệnh trầm cảm,5
1-2,25,則,zé,Adv,conjunction used to express contrast with previous sentence ,liên từ thể hiện sự tương phản với câu trước,5
1-2,26,閉嘴,bìzuǐ,V-sep,"to shut one’s mouth, keep one’s mouth shut","ngậm miệng, im miệng",5
1-2,27,回應,huíyìng,V/N,"to respond, response",phản hồi; sự phản hồi,5
1-2,28,傷害,shānghài,V/N,"to harm, damage; damage",làm tổn hại; sự tổn hại,5
1-2,29,破壞,pòhuài,V,"to damage, cause damage to",phá hoại,5
1-2,30,管,guǎn,V,"to mind, watch (one’s behavior, etc.)","để ý, quan tâm (đến hành vi của ai đó)",5
1-2,31,聰明,cōngmíng,Vs,"smart, intelligent",thông minh,5
1-2,32,標題,biāotí,N,headline,tiêu đề,5
1-2,33,懷疑,huáiyí,Vst,suspect,nghi ngờ,5
1-2,34,模糊,móhú,Vs,"ambiguous, vague","mơ hồ, không rõ ràng",5
1-2,35,擅長,shàncháng,Vst,"be good at, excel at","giỏi về, xuất sắc về",5
1-2,36,灰色,huīsè,N,gray,màu xám,5
1-2,37,地帶,dìdài,N,"zone, area","vùng, khu vực",5
1-2,38,法院,fǎyuàn,N,court,tòa án,5
1-2,39,確定,quèdìng,V,"to determine, ascertain",xác định,5
1-2,40,個人,gèrén,N,the individual,cá nhân,5
1-2,41,承擔,chéngdān,V,to take up (responsibility),"gánh vác, đảm đương",5
1-2,42,和諧,héxié,Vs,harmonious,hài hòa,5
1-2,43,制定,zhìdìng,V,"to formulate, devise (laws)","soạn thảo, đề ra (luật)",5
1-2,44,嚴格,yángé ,Vs,"strict, severe","nghiêm khắc, nghiêm ngặt",5
1-2,45,約束,yuēshù,V,"to restrict, constrain","hạn chế, ràng buộc",5
2-1,1,基改,jīgǎi,N,"基＝基因,改＝改造 (see Book 3)",biến đổi gen (GMO),5
2-1,2,農糧,nóngliáng,N,"農=農作物, corp;糧=糧食, food",cây lương thực,5
2-1,3,廣播節目,guǎngbò jiémù,Ph,broadcast program,chương trình phát thanh,5
2-1,4,主持人,zhǔchírén,N,"host, MC",người dẫn chương trình,5
2-1,5,聽眾,tīngzhòng,N,"listening audience, listeners",thính giả,5
2-1,6,播,bò,V,to broadcast,phát sóng,5
2-1,7,蟲子,chóngzi,N,"insect, bug","côn trùng, sâu bọ",5
2-1,8,隔壁,gébì,N,next door,"bên cạnh, kế bên",5
2-1,9,回答,huídá,V,to answer,trả lời,5
2-1,10,死,sǐ,Vp,to die,chết,5
2-1,11,話題,huàtí,N,topic,chủ đề,5
2-1,12,危害,wéihài,V  ,"to harm, be detrimental to, endanger","gây hại, gây nguy hiểm",5
2-1,13,贊成,zànchéng,Vst,"to approve, in favor","tán thành, ủng hộ",5
2-1,14,各式各樣,gèshì gèyàng,Id,"all types of, various kinds of","đủ loại, nhiều kiểu khác nhau",5
