課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
1-1,1,安德思,Ān Désī ,,a man from Honduras ,An Desi,ผู้ชายฮอนดูรัส (phu chai hon du rat),ဟွန်ဒူးရပ်စ်အမျိုးသား (hon du ras a myo tha),ホンジュラス共和国の男性 (Honjurasu kyōwakoku no dansei),온두라스 남자 (onduraseu namja),un hombre de Honduras,seorang pria dari Honduras,3
1-1,2,羅珊蒂,Luó Shāndì ,,a woman from Indonesia,Luo Shandi,ผู้หญิงจากอินโดนีเซีย,အင်ဒိုနီးရှားမှ အမျိုးသမီးတစ်ဦး,インドネシアから来た女性,인도네시아에서 온 여자,una mujer de Indonesia,seorang wanita asal Indonesia,3
1-1,3,何雅婷,Hé Yǎtíng ,,a woman from Taiwan,He Yating,ผู้หญิงไต้หวัน (phu ying tai wan),ထိုင်ဝမ်အမျိုးသမီး (tai wan a myo tha mee),台湾出身の女性 (Taiwan shusshin no josei),대만 여자 (daeman yeoja),una mujer de Taiwán,seorang wanita dari Taiwan,3
1-1,4,開學,kāixué,Vp,(school) to start,khai giảng (trường học bắt đầu),(โรงเรียน) เพื่อเริ่มต้น,(ကျောင်း) စတင်ရန်,（学校を）始める,(학교) 시작하다,(escuela) empezar,mulai sekolah / mulai semester,3
1-1,5,班,bān,N,"class, i.e., the students (not the classroom or the course)","lớp (chỉ tập thể học sinh, không phải phòng học hay khóa học)",ชั้นเรียน เช่น นักเรียน (ไม่ใช่ห้องเรียนหรือหลักสูตร),အတန်း၊ ဆိုလိုသည်မှာ ကျောင်းသား (စာသင်ခန်း သို့မဟုတ် သင်တန်းမဟုတ်)၊,クラス、つまり学生（教室やコースではありません）,"수업, 즉 학생(교실이나 강좌가 아님)","clase, es decir, los estudiantes (no el aula o el curso)","kelas, yaitu siswa (bukan kelas atau kursus)",3
1-1,6,新生,xīnshēng,N,new student,sinh viên/học sinh mới,นักเรียนใหม่,ကျောင်းသားသစ်,新入生,신입생,nuevo estudiante,murid baru,3
1-1,7,嚴,yán,Vs,"strict, stern",nghiêm khắc,เข้มงวดเข้มงวด,တင်းကျပ်၊ တင်းကျပ်,厳格な、厳格な,"엄격한, 단호한","estricto, severo","ketat, tegas",3
1-1,8,口試,kǒushì,N,oral test,bài thi/bài kiểm tra nói,การทดสอบช่องปาก,ပါးစပ်စမ်းသပ်မှု,口頭試験,면접 시험,prueba oral,tes lisan,3
1-1,9,筆試,bǐshì,N,written test,bài thi/bài kiểm tra viết,การทดสอบข้อเขียน,ရေးထားသောစာမေးပွဲ,筆記試験,필기 시험,prueba escrita,tes tertulis,3
1-1,10,以外,yǐwài,N,"except, other than","ngoại trừ, ngoài... ra",ยกเว้น นอกเหนือจาก,မှလွဲ၍ အခြားမဟုတ်၊,以外に、以外に,"제외하고, 그 외에는","excepto, aparte de","kecuali, selain",3
